Episode: 221 | Reward: 177.0 | Q Loss: 0.9085953831672668 | Steps: 15491
Episode: 222 | Reward: 200.0 | Q Loss: 0.8076859712600708 | Steps: 15691
Episode: 223 | Reward: 174.0 | Q Loss: 0.9935207366943359 | Steps: 15865
Episode: 224 | Reward: 200.0 | Q Loss: 0.7887957692146301 | Steps: 16065
Episode: 225 | Reward: 200.0 | Q Loss: 0.9051183462142944 | Steps: 16265
Episode: 226 | Reward: 200.0 | Q Loss: 0.810495138168335 | Steps: 16465
Episode: 227 | Reward: 200.0 | Q Loss: 0.900115966796875 | Steps: 16665
Episode: 228 | Reward: 189.0 | Q Loss: 0.7702528238296509 | Steps: 16854
Episode: 229 | Reward: 200.0 | Q Loss: 0.7342244386672974 | Steps: 17054
Episode: 230 | Reward: 200.0 | Q Loss: 0.9100987911224365 | Steps: 17254
Episode: 231 | Reward: 186.0 | Q Loss: 4.163296222686768 | Steps: 17440
Episode: 232 | Reward: 200.0 | Q Loss: 0.9774055480957031 | Steps: 17640
Episode: 233 | Reward: 200.0 | Q Loss: 0.9450891017913818 | Steps: 17840
Episode: 234 | Reward: 200.0 | Q Loss: 0.8705974221229553 | Steps: 18040
Episode: 235 | Reward: 200.0 | Q Loss: 0.9375831484794617 | Steps: 18240
Episode: 236 | Reward: 200.0 | Q Loss: 0.9388233423233032 | Steps: 18440
Episode: 237 | Reward: 200.0 | Q Loss: 0.8150249123573303 | Steps: 18640
Episode: 238 | Reward: 200.0 | Q Loss: 0.7357540130615234 | Steps: 18840
Episode: 239 | Reward: 200.0 | Q Loss: 4.299999237060547 | Steps: 19040
Episode: 240 | Reward: 200.0 | Q Loss: 0.9758551716804504 | Steps: 19240
Episode: 241 | Reward: 200.0 | Q Loss: 0.9072235822677612 | Steps: 19440
Episode: 242 | Reward: 200.0 | Q Loss: 1.0067476034164429 | Steps: 19640
Episode: 243 | Reward: 198.0 | Q Loss: 0.9933305978775024 | Steps: 19838
Episode: 244 | Reward: 200.0 | Q Loss: 0.8557701110839844 | Steps: 20038
Episode: 245 | Reward: 200.0 | Q Loss: 0.9043112993240356 | Steps: 20238
Episode: 246 | Reward: 200.0 | Q Loss: 1.0895575284957886 | Steps: 20438
Episode: 247 | Reward: 200.0 | Q Loss: 1.2372506856918335 | Steps: 20638
Episode: 248 | Reward: 176.0 | Q Loss: 0.9667608141899109 | Steps: 20814
Episode: 249 | Reward: 200.0 | Q Loss: 6.216676712036133 | Steps: 21014
Episode: 250 | Reward: 200.0 | Q Loss: 0.7822726964950562 | Steps: 21214
Episode: 251 | Reward: 200.0 | Q Loss: 0.9197098016738892 | Steps: 21414
Episode: 252 | Reward: 200.0 | Q Loss: 0.9387850165367126 | Steps: 21614
Episode: 253 | Reward: 163.0 | Q Loss: 0.756777822971344 | Steps: 21777
Episode: 254 | Reward: 200.0 | Q Loss: 1.0464400053024292 | Steps: 21977
Episode: 255 | Reward: 186.0 | Q Loss: 0.9009608030319214 | Steps: 22163
Episode: 256 | Reward: 168.0 | Q Loss: 0.9966301321983337 | Steps: 22331
Episode: 257 | Reward: 168.0 | Q Loss: 1.0363779067993164 | Steps: 22499
Episode: 258 | Reward: 197.0 | Q Loss: 1.1112523078918457 | Steps: 22696
Episode: 259 | Reward: 200.0 | Q Loss: 1.1725308895111084 | Steps: 22896
Episode: 260 | Reward: 200.0 | Q Loss: 0.9932193160057068 | Steps: 23096
Episode: 261 | Reward: 200.0 | Q Loss: 5.129932403564453 | Steps: 23296
Episode: 262 | Reward: 200.0 | Q Loss: 1.176216959953308 | Steps: 23496
Episode: 263 | Reward: 200.0 | Q Loss: 1.072140097618103 | Steps: 23696
